IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.13000000	      6.34634219	   -168.61910692	      5.36595032	      0.15510129	      1.44599978	      0.05213988	    -32.82811799	     -0.52061507	      2.10435777	     44.30988621	      7.86064176	     -4.21798790	     -1.37721379	      6.27590766	     22.31237785	     23.32469932	    115.24782417
      7.14000000	      6.38775868	   -168.62622062	      5.25593833	      0.15491451	      1.44595684	      0.05238026	    -32.94850487	     -0.58476295	      1.97489130	     44.28505614	      7.42223994	     -4.06826536	     -1.57835495	      7.33823851	     22.28218449	     23.43699124	    115.24694526
      7.15000000	      6.35489497	   -168.64154046	      5.32295001	      0.15516778	      1.44590076	      0.05234149	    -32.96287674	     -0.53333145	      2.02959503	     44.26919862	      7.49638824	     -4.06760536	     -1.59699359	      7.41721948	     22.26687637	     23.42457469	    115.24491952
      7.16000000	      6.36726616	   -168.65784953	      5.23692959	      0.15513973	      1.44597379	      0.05249711	    -33.06820279	     -0.56882635	      1.94898773	     44.32268307	      7.18820547	     -3.96485918	     -1.87506886	      8.30842121	     22.20459144	     23.51429957	    115.26154184
      7.17000000	      6.32681015	   -168.67463056	      5.32090090	      0.15541314	      1.44591368	      0.05241278	    -33.08421254	     -0.50512173	      2.01790239	     44.30492792	      7.28050198	     -3.96234531	     -1.89788830	      8.40411716	     22.18510011	     23.50012057	    115.25911014
      7.18000000	      6.36028837	   -168.68674794	      5.21941810	      0.15538215	      1.44599287	      0.05259559	    -33.21444755	     -0.53555401	      1.94173819	     44.42495577	      6.97188836	     -3.84179883	     -2.26282395	      9.38212672	     22.04394116	     23.61393147	    115.28395119
      7.19000000	      6.31056825	   -168.70501593	      5.32093030	      0.15569179	      1.44592069	      0.05245941	    -33.23190222	     -0.45934073	      2.02546567	     44.40541291	      7.08295552	     -3.83731259	     -2.28958659	      9.49514884	     22.02033146	     23.59805795	    115.28118516
      7.20000000	      6.33926764	   -168.71298763	      5.20443120	      0.15567077	      1.44602332	      0.05262769	    -33.37428525	     -0.48479703	      1.94398232	     44.60121553	      6.76513032	     -3.70752524	     -2.74152162	     10.57389246	     21.81396965	     23.73832041	    115.32619941
      7.21000000	      6.28286268	   -168.73415928	      5.32346388	      0.15600430	      1.44593608	      0.05247384	    -33.39436398	     -0.39493768	      2.04104204	     44.57862215	      6.89493809	     -3.70344870	     -2.77247395	     10.70399057	     21.78627629	     23.72005421	    115.32322074
      7.22000000	      6.31760861	   -168.74437408	      5.19380927	      0.15600331	      1.44606184	      0.05266899	    -33.54850694	     -0.41737885	      1.96488893	     44.83391489	      6.58138554	     -3.56390017	     -3.30436866	     11.86456452	     21.52008308	     23.88799572	    115.39639717
